polo,vagas,INSCRITOS,CAN_X_VAG
PRADOPOLIS,10.0,24.0,2.4
SÃO PAULO - QUINTA DO SOL,35.0,84.0,2.4
SÃO PAULO - PARELHEIROS,35.0,84.0,2.4
JACAREÍ,50.0,121.0,2.42
SÃO PAULO - ALVARENGA,35.0,85.0,2.4285714285714284
OLÍMPIA,20.0,49.0,2.45
MAUÁ,50.0,123.0,2.46
PRESIDENTE EPITÁCIO,15.0,37.0,2.466666666666667
VÁRZEA PAULISTA,35.0,87.0,2.4857142857142858
SERTÃOZINHO,35.0,87.0,2.4857142857142858
BOA ESPERANÇA DO SUL,10.0,25.0,2.5
SETE BARRAS,10.0,25.0,2.5
BANANAL,10.0,25.0,2.5
AGUDOS,10.0,25.0,2.5
QUATÁ,10.0,25.0,2.5
GUARARAPES,10.0,25.0,2.5
SÃO PAULO - PERUS,35.0,88.0,2.5142857142857142
VOTORANTIM,35.0,88.0,2.5142857142857142
SÃO PAULO - PARQUE BRISTOL,35.0,88.0,2.5142857142857142
EMBU DAS ARTES,50.0,126.0,2.52
SÃO PAULO - CASA BLANCA,35.0,89.0,2.5428571428571427
PIRASSUNUNGA,25.0,64.0,2.56
LOUVEIRA,15.0,39.0,2.6
SÃO PAULO - HELIÓPOLIS,35.0,91.0,2.6
CACHOEIRA PAULISTA,10.0,26.0,2.6
PENÁPOLIS,20.0,52.0,2.6
SÃO PAULO - JARDIM PAULISTANO,35.0,92.0,2.6285714285714286
CAMPO LIMPO PAULISTA,30.0,79.0,2.6333333333333333
DIADEMA,50.0,135.0,2.7
SÃO PAULO - VILA RUBI,35.0,95.0,2.7142857142857144
CERQUILHO,15.0,41.0,2.7333333333333334
PORTO FELIZ,15.0,41.0,2.7333333333333334
JAGUARIÚNA,20.0,55.0,2.75
FRANCA,50.0,139.0,2.78
JACUPIRANGA,10.0,28.0,2.8
ITAPORANGA,10.0,28.0,2.8
ILHABELA,10.0,28.0,2.8
ITANHAÉM,35.0,99.0,2.8285714285714287
SÃO JOÃO DA BOA VISTA,30.0,85.0,2.8333333333333335
ITUPEVA,20.0,57.0,2.85
ARAÇOIABA DA SERRA,10.0,29.0,2.9
TEODORO SAMPAIO,10.0,29.0,2.9
POMPÉIA,10.0,29.0,2.9
SOROCABA - PARQUE TECNOLÓGICO,50.0,145.0,2.9
IGUAPE,10.0,29.0,2.9
SÃO PAULO - SAPOPEMBA,35.0,102.0,2.914285714285714
CARAPICUÍBA,50.0,147.0,2.94
ARAÇATUBA,40.0,120.0,3.0
PIQUETE,10.0,30.0,3.0
BIRITIBA MIRIM,10.0,30.0,3.0
SÃO PAULO - FORMOSA,35.0,106.0,3.0285714285714285
BOTUCATU,35.0,107.0,3.057142857142857
SÃO PAULO - CAPÃO REDONDO,35.0,108.0,3.085714285714286
SALESÓPOLIS,10.0,31.0,3.1
ESTIVA GERBI,10.0,31.0,3.1
SUZANO,50.0,158.0,3.16
GUARUJÁ,50.0,161.0,3.22
SÃO PAULO - JAMBEIRO,35.0,113.0,3.2285714285714286
PRESIDENTE PRUDENTE,50.0,164.0,3.28
PIRACICABA,50.0,164.0,3.28
RIBEIRAO PRETO,100.0,329.0,3.29
CAJATI,10.0,33.0,3.3
ROSANA,10.0,33.0,3.3
APARECIDA,10.0,33.0,3.3
SÃO BERNARDO DO CAMPO,100.0,341.0,3.41
SÃO PAULO - GUARAPIRANGA,35.0,121.0,3.4571428571428573
SÃO JOSÉ DO RIO PRETO,50.0,174.0,3.48
ITARARE,15.0,53.0,3.533333333333333
ANDRADINA,20.0,72.0,3.6
CARAGUATATUBA,35.0,126.0,3.6
CAPÃO BONITO,15.0,54.0,3.6
SÃO JOSÉ DOS CAMPOS - SANTANA,50.0,181.0,3.62
VARGEM GRANDE PAULISTA,15.0,56.0,3.7333333333333334
OSASCO,100.0,385.0,3.85
BARRA BONITA,10.0,40.0,4.0
BARUERI,50.0,202.0,4.04
CAMPINAS,100.0,404.0,4.04
GUARAREMA,10.0,41.0,4.1
SÃO CARLOS,50.0,209.0,4.18
ALUMÍNIO,10.0,42.0,4.2
SÃO PAULO - JAGUARÉ,35.0,148.0,4.228571428571429
SÃO PAULO - CAMINHO DO MAR,35.0,149.0,4.257142857142857
ORLANDIA,15.0,64.0,4.266666666666667
SÃO PAULO - CAMPO LIMPO,35.0,152.0,4.3428571428571425
SÃO PAULO - VILA CURUÇÁ,35.0,155.0,4.428571428571429
SANTO ANDRÉ,50.0,224.0,4.48
BAURU,50.0,224.0,4.48
SÃO JOSÉ DOS CAMPOS - PARQUE TECNOLÓGICO,50.0,231.0,4.62
MOGI DAS CRUZES,50.0,239.0,4.78
SÃO PAULO - TIQUATIRA,35.0,183.0,5.228571428571429
SÃO VICENTE - INSULAR,30.0,158.0,5.266666666666667
SOROCABA - VILA BARÃO,50.0,266.0,5.32
APIAÍ,10.0,56.0,5.6
SÃO PAULO - CIDADE DUTRA,35.0,196.0,5.6
SÃO PAULO - JAÇANÃ,35.0,223.0,6.371428571428571
SANTOS,50.0,335.0,6.7
RANCHARIA,10.0,68.0,6.8
GUARULHOS,50.0,350.0,7.0
TREMEMBÉ,15.0,112.0,7.466666666666667
SÃO PAULO - ARICANDUVA,35.0,283.0,8.085714285714285
SÃO PAULO - FREGUESIA DO Ó,35.0,297.0,8.485714285714286
SÃO PAULO - BUTANTÃ,35.0,427.0,12.2
