,polo,vagas,endereco,lat,lng,distance
286,São Paulo - Capão Redondo,35 ,"R. Daniel Gran, S/N - Jardim Modelo CEP: 05867-380",-23.673948,-46.768487,24111.0
287,São Paulo - Casa Blanca,35 ,"R. João Damasceno, 85 - Vila das Belezas CEP: 05841-160",-23.6470111,-46.7438824,18527.0
288,São Paulo - Cidade Dutra,35 ,"Av. Interlagos, 7350 - Cidade Dutra CEP: 04777-000",-23.7106679,-46.704871,26013.0
289,São Paulo - Formosa,35 ,"R. Sargento Claudiner Evaristo Dias, 10 - Parque Santo Antonio CEP: 03385-150",-23.5809965,-46.52561190000001,24293.0
290,São Paulo - Freguesia do Ó,35 ,"Av. Deputado Emílio Carlos, 3871 - Limão CEP: 02721-200",-23.475105,-46.668977,8465.0
291,São Paulo - Heliópolis,35 ,"Estrada das Lágrimas, 2385 - São João Climaco CEP: 04244-000",-23.6221722,-46.5907948,19156.0
292,São Paulo - Jaçanã,35 ,"R. Francisca Espósito Tonetti, 105 - Jardim Guapira CEP: 02276-010",-23.4570823,-46.5845419,24648.0
293,São Paulo - Jambeiro,35 ,"Av. José Pinheiro Borges, 60 - Guaianses CEP: 08420-092",-23.5364811,-46.4262362,39513.0
294,São Paulo - Jardim Paulistano,35 ,"R. Aparecida do Taboado, S/N - Jardim Paulistano CEP: 02814-000",-23.4588287,-46.7071451,14013.0
295,São Paulo - Meninos,35 ,"R. Barbinos, 111 - São João Clímaco CEP: 04240-110",-23.6214189,-46.584375,18358.0
296,São Paulo - Navegantes,35 ,"R. Maria Moassab Barbour, S/N - Cantinho do Céu CEP: 04849-503",-23.7435448,-46.6607261,35402.0
297,São Paulo - Paraisópolis,35 ,"R. Dr. José Augusto de Souza e Silva, S/N - Jardim Parque Morumbi CEP: 05712-040",-23.6203622,-46.7298979,17392.0
298,São Paulo - Parelheiros,35 ,"R. José Pedro de Borba, 20 - Jardim Novo Parelheiros CEP: 04890-090",-23.8281728,-46.72514349999999,41670.0
299,São Paulo - Parque Bristol,35 ,"R. Prof. Arthur Primavesi, S/N - Parque Bristol CEP: 04177-070",-23.643751,-46.60948639999999,19032.0
300,São Paulo - Parque São Carlos,35 ,"R. Clarear, 643 - Jardim São Carlos CEP: 08062-590",-23.509771,-46.4738336,34096.0
301,São Paulo - Parque Veredas,35 ,"R. Daniel Muller, 347 - Itaim Paulista CEP: 08141-290",-23.5132717,-46.3898805,42347.0
302,São Paulo - Pera Marmelo,35 ,"R. Pêra Marmelo, 226 - Jaraguá CEP: 05185-420",-23.4369712,-46.7507311,28507.0
303,São Paulo - Perus,35 ,"R. Bernardo José de Lorena, S/N - Vila Malvina CEP: 05203-200",-23.4057127,-46.7513843,26395.0
304,São Paulo - Quinta do Sol,35 ,"Av. Luiz Imparato, 564 - Vila Cisper CEP: 03819-160",-23.4987799,-46.4961166,24074.0
305,São Paulo - Rosa da China,35 ,"R. Clara Petrela, 113 - Jardim São Roberto CEP: 03978-500",-23.6213622,-46.5010529,29693.0
306,São Paulo - São Mateus,35 ,"R. Curumatim, 201 - Parque Boa Esperança CEP: 08341-240",-23.6025595,-46.4493106,30830.0
307,São Paulo - São Rafael,35 ,"R. Cinira Polônio, 100 - São Rafael CEP: 08395-320",-23.6207574,-46.4568816,32539.0
308,São Paulo - Tiquatira,35 ,"Av. Condessa Elisabeth de Robiano, S/N - Penha CEP: 03704-000",-23.5270199,-46.5645811,14309.0
309,São Paulo - Três Lagos,35 ,"R. Maria Moura da Conceição, S/N - Jardim Belcito CEP: 04855-257",-23.7672042,-46.6785465,33324.0
310,São Paulo - Vila Atlântica,35 ,"R. Coronel José Venâncio Dias, 840 - Jardim Jaraguá CEP: 05160-030",-23.4813299,-46.7626941,17927.0
311,São Paulo - Vila Curuçá,35 ,"Av. Marechal Tito, 3452 - Jardim Miragaia CEP: 08160-495",-23.4950351,-46.4122963,35787.0
312,São Paulo - Vila do Sol,35 ,"Av. dos Funcionarios Públicos, 369 - Jardim Vera Cruz CEP: 04962-000",-23.7355667,-46.7808053,30542.0
313,São Pedro,10 ,"R. Jorge de Toledo, 336 - Jardim Cássio Paschoal Padovani CEP: 13520-000",-22.5599433,-47.9011565,187814.0
314,Sao Pedro do Turvo,10 ,"R. García Braga, 196 - Centro CEP: 18940-000",-22.7503888,-49.7387428,358562.0
315,São Sebastião,30 ,"R. Rita Orseli, 161 - Vila Amélia CEP: 11609-009",-23.4710195,-46.6542406,10226.0
316,São Simão,10 ,"R. Bandeira Vilela, 414 - Centro CEP: 14200-000",-21.4774702,-47.5518121,275346.0
317,São Vicente - Insular,30 ,"Av. Antônio Emmerich, 504 - Vila Valença CEP: 11370-000",-23.961606,-46.377882,76687.0
318,São Vicente - Quarentenário,30 ,"Av. Quarentenário, 1001 - Jardim Quarentenário CEP: 11347-520",-23.9842553,-46.4620703,75719.0
319,Sarapuí,10 ,"R. Doutor Júlio Prestes, 780 - Vila Ana Maria CEP: 18225-000",-23.6506958,-47.7834888,158587.0
320,Serrana,15 ,"R. Santa Cruz, 1801 - Jardim Cristina CEP: 14150-000",-21.2001152,-47.5965242,311374.0
321,Sertãozinho,35 ,"R. Oswaldo Bertuso, 126 - Conjunto Habitacional Antônio Nadaletto Mazzer CEP: 14177-082",-21.136272,-48.0037762,336590.0
322,Sete Barras,10 ,"R. José Lopes, 35 - Centro CEP: 11910-000",-24.3915196,-47.925877,204013.0
323,Severínia,10 ,"R. Dr. Salomão Galib Tannur, 827 - Jardim Primavera CEP: 14735-000",-20.7958428,-48.8461431,423968.0
324,Socorro,15 ,"R. Alfredo de Oliveira Santos, 68 - Centro CEP: 13960-000",-22.5906428,-46.5286734,138189.0
325,Sorocaba - Parque Tecnológico,50 ,"Av. Itavuvu, 11777 - Distrito Industrial Zona Norte CEP: 18078-005",-23.3863236,-47.4784984,99093.0
326,Sorocaba - Vila Barão,50 ,"Av. General Osório, 1840 - Vila Barão CEP: 18060-502",-23.4872811,-47.4794224,98960.0
327,Sud Mennucci,10 ,"Av. Pioneiros, 809 - Centro CEP: 15360-000",-20.6900626,-50.9249213,610844.0
328,Sumaré,50 ,"Av. Brasil, 1111 - Jardim Irmã Davina CEP: 13177-310",-22.8126365,-47.2253789,110610.0
329,Suzano,50 ,"R. General Francisco Glicério, 1334 - Centro CEP: 08674-002",-23.5459048,-46.3128104,55338.0
330,Tambaú,10 ,"Praça Padre Donizetti Tavares de Lima, 159 - Centro CEP: 13710-000",-21.704168,-47.2718008,253135.0
331,Tapiratiba,10 ,"Praça Dona Esméria do Valle Figueiredo, 171 - Centro CEP: 13760-000",-21.4696574,-46.74905829999999,270643.0
332,Taquaral,10 ,"R. Central, 119 - Centro CEP: 14765-000",-21.0732724,-48.408088,360499.0
333,Taquaritinga,20 ,"Av. Doutor Flávio Henrique Lemos, 585 - Portal Itamaracá CEP: 15900-000",-21.430094,-48.515285,330447.0
334,Taquarituba,10 ,"R. São Benedito, 484 - Centro CEP: 18740-000",-23.5311083,-49.2456288,325270.0
335,Taquarivai,10 ,"R. Maria Joana Ferraz, 280 - Centro CEP: 18425-000",-23.9239496,-48.6969387,264327.0
336,Tarabai,10 ,"Av. Prefeito Waldemar Calvo, 2157 - Centro CEP: 19210-000",-22.3037064,-51.5520125,568494.0
337,Tarumã,10 ,"R. Lambaris, 405 - Vila Dourados CEP: 19820-000",-22.7448039,-50.5823701,452678.0
338,Tatuí,35 ,"Rod. Mário Batista Mori, 971 - Jardim Aeroporto CEP: 18280-000",-23.3306028,-47.8681699,139626.0
339,Teodoro Sampaio,10 ,"R. José Miguel de Castro Andrade, 916 - Centro CEP: 19280-000",-22.5308809,-52.171339,650315.0
340,Tietê,15 ,"R. Luiz Montanham, 1190 -  Terra Nova Tietê CEP: 18530-000",-23.0912002,-47.7056282,141635.0
341,Torrinha,10 ,"Rod. SP 304 Amauri Barroso de Souza, km 247 - Zona Rural CEP: 17360-000",-22.1046535,-48.69828769999999,313011.0
342,Tremembé,15 ,"R. Antônio Lourenço Xavier, S/N - Jardim Bom Jesus CEP: 12120-000",-22.964111,-45.54911329999999,158991.0
343,Tupã,20 ,"R. Tapuias, S/N - Núcleo Fepasa CEP: 17600-900",-21.9364624,-50.5117089,517318.0
344,Urupês,10 ,"R. José Bonifácio, 804 - Centro CEP: 15850-000",-21.2097418,-49.2435998,418526.0
345,Valinhos,35 ,"R. dos Geranios, S/N - Jd. Paraiso CEP: 13273-340",,,
346,Vargem Grande do Sul,15 ,"R. São Braz, 200 - Santa CEP: 13880-000",-21.8411508,-46.9045968,227173.0
347,Vargem Grande Paulista,15 ,"R. Mathias Maciel de Almeida, 60, Gleba 05 - Centro CEP: 06730-000",-23.6063827,-47.0257105,42468.0
348,Várzea Paulista,35 ,"Av. Ipiranga, 151 - Centro CEP: 13220-210",-23.2105543,-46.8326251,54504.0
349,Vera Cruz,10 ,"R. Drª Cecília Rangel Janini, 03 - Centro CEP: 17560-000",-22.2193671,-49.8247655,426700.0
350,Vinhedo,25 ,"Av. Independência, 5110 - Jardim Alba CEP: 13289-038",-23.0301137,-46.9803205,73502.0
351,Viradouro,10 ,"R. Durval Marçal Vieira, 671 - Jardim das Palmeiras CEP: 14740-000",-20.8623991,-48.287808,396462.0
352,Votorantim,35 ,"Av. Vereador Newton Vieira Soares, 291 - Centro CEP: 18110-013",-23.5430023,-47.4456298,102286.0
353,Votuporanga,35 ,"R. Pernambuco, 1736 - Vila Muniz CEP: 15501-095",-20.4358256,-49.9709673,517432.0
