,polo,vagas,endereco,lat,lng,distance
74,Cordeirópolis,10 ,"R. Galdino de Souza Barbosa, 400 - Jardim Cordeiro CEP: 13490-000",-22.4838883,-47.4754368,158680.0
75,Cosmópolis,25 ,"Av. da Saudade, 528 - Vila José Kalil Aun CEP: 13150-000",-22.6450307,-47.185015,134975.0
76,Cravinhos,10 ,"R. Horácio Sabino Coimbra, 577 - Jardim Alvorada CEP: 14140-000",-21.3546352,-47.7254297,289220.0
77,Cristais Paulista,10 ,"Av. Antônio Prado, 3240 - Centro CEP: 14460-000",-20.4032931,-47.4236386,410589.0
78,Cruzeiro,30 ,"R. Doutor José Rodrigues Alves Sobrinho, 191 - Vila Sueli CEP: 12711-690",-22.56633,-44.960617,221233.0
79,Cubatão,35 ,"Av. Doutor Fernando Costa, 1096 - Costa CEP: 11510-310",-23.8820597,-46.4269355,69451.0
80,Cunha,10 ,"Ladeira Vinte de Abril, S/N - Centro CEP: 12530-000",-23.0757621,-44.957096,226059.0
81,Diadema,50 ,"R. Lauro Michels, 30 - Centro CEP: 09910-970",-23.6859806,-46.62094980000001,23892.0
82,Dois Córregos,10 ,"Av. Vasco da Gama, 164 - Jardim Arco CEP: 17300-000",-22.365386,-48.3915519,284120.0
83,Dourado,10 ,"R. José Bustani, 600 - Jardim Paulista CEP: 13590-000",-22.1169419,-48.31766529999999,275866.0
84,Dracena,15 ,"Av. José Bonifácio, 267 - Vila CEP: 17900-000",-21.4956783,-51.5366378,665084.0
85,Dumont,10 ,"R. João Negri, 412 - Jd Adelaide CEP: 14120-000",,,
86,Eldorado,10 ,"R. Padre Joaquim Gabriel, 161 - Centro CEP: 11960-000",-24.521166,-48.1094301,239836.0
87,Elias Fausto,10 ,"Av. Osvaldo Maluf, 250 - Vila Anchieta CEP: 13350-000",-23.0475391,-47.3668294,123345.0
88,Embu das Artes,50 ,"R. Alberto Giosa, 320 - Jardim CEP: 06803-280",-23.6586269,-46.85537600000001,29249.0
89,Engenheiro Coelho,10 ,"R. Alexandre Bonin, 403 - Jardim do Sol CEP: 13165-000",-22.4927494,-47.2073024,155871.0
90,Espírito Santo do Pinhal,15 ,"Praça Irmão Estevão Von Herkhnuizen, S/N - Jardim das Rosas CEP: 13990-000",-22.1755019,-46.805914,190981.0
91,Estiva Gerbi,10 ,"R. José Rodrigues dos Santos, 271 - São José II CEP: 13857-000",-22.2327091,-46.9513691,170352.0
92,Fartura,10 ,"R. Santa Maria, 60 - Vila Nossa Senhora de Fátima CEP: 18870-000",-23.3833047,-49.5048217,357832.0
93,Fernandópolis,25 ,"Av. Litério Grecco, 300 - Jardim São Fernando CEP: 15600-000",-20.273548,-50.2288572,547960.0
94,Flora Rica,10 ,"R. Verador Raimundo Antônio de Araújo, 416 - Centro CEP: 17870-000",-21.675914,-51.37998160000001,615966.0
95,Flórida Paulista,10 ,"Av. dos Expedicionários, 190 - Centro CEP: 17830-000",-21.6137497,-51.1703653,597761.0
96,Franca,50 ,"Av. Champagnat, 1808 - Centro CEP: 14400-320",-20.5453519,-47.4012559,393400.0
97,Francisco Morato,40 ,"R. Virgílio Martins de Oliveira, 824 - Vila Heloísa CEP: 07914-043",-23.2810905,-46.7516253,44395.0
98,Franco da Rocha,40 ,"R. Cinco de Maio, 97 - Vila Maggi CEP: 07850-300",-23.3297193,-46.7256009,39359.0
99,Garça,15 ,"R. Padre Paulo de Toledo Leite, 411 - Ferrarópolis CEP: 17400-000",-22.207645,-49.65802000000001,409813.0
100,Gavião Peixoto,10 ,"Alameda Serez, 495 - Centro CEP: 14813-000",-21.8137228,-48.4587382,300310.0
101,Guaíra,15 ,"Av. 1A, 2000 - Conjunto Habitacional Prefeito José Pugliesi CEP: 14790-000",-20.3200638,-48.312419,445299.0
102,Guapiaçu,10 ,"R. Alfredo de Souza Barbeiro, 280 - Ribeirão Claro CEP: 15110-000",-20.799733,-49.2234971,437391.0
103,Guara,10 ,"R. João Carlos Figueiredo, 11 - Centro CEP: 14580-000",-20.4256578,-47.8202137,397167.0
104,Guaraci,10 ,"Praça Oscar Baptista de Carvalho, 657 - Centro CEP: 15420-000",-20.4987244,-48.9457122,457986.0
105,Guararapes,10 ,"R. José Dalla Pria, 177 - Jardim Continental CEP: 16.700-000",-21.2394142,-50.6473534,540005.0
106,Guararema,10 ,"R. Doutor Armindo, 567 - Nogueira CEP: 08900-000",-23.418322,-46.031276,84191.0
107,Guaratinguetá,35 ,"Praça Condessa de Frontin, 76 - Centro CEP: 12500-180",-22.8140798,-45.19142979999999,180039.0
108,Guareí,10 ,"R. Tiradentes, 100 - Centro CEP: 18250-000",-21.1100035,-44.1733017,485875.0
109,Guariba,10 ,"R. Rui Barbosa, 1244 - Jardim Progresso CEP: 14840-000",-21.3586779,-48.2207442,337005.0
110,Guarujá,50 ,"Av. Adriano Dias dos Santos, 611 - Jardim Boa Esperança CEP: 11470-220",-23.9600223,-46.2792392,96399.0
111,Guarulhos,50 ,"Av. Monteiro Lobato, 734 - Macedo CEP: 07112-000",-23.4579547,-46.4887252,27725.0
112,Herculandia,10 ,"R. XV de Novembro, 331 - Centro CEP: 17650-000",-23.5461226,-46.6343728,8514.0
113,Hortolândia,50 ,"R. Capitão Lourival Mey, 750 - Jardim Santana CEP: 13184-470",-22.8723376,-47.2095926,105535.0
114,Iacanga,10 ,"R. Antonio Trentim, 263 - Jardim Paraíso CEP: 17180-000",-21.8972704,-49.0251114,373468.0
115,Ibirá,10 ,"R. Ibirá, 896 - Centro CEP: 15860-000",-21.0818543,-49.2410272,414476.0
116,Ibitinga,20 ,"R. Capitão João Marques, 80 - Marques CEP: 14940-000",-21.752545,-48.833478,342649.0
117,Ibiúna,25 ,"R. Raimundo Santiago, 30 2º piso - Centro CEP: 18150-000",-23.655111,-47.2216594,69160.0
118,Igaraçu do Tietê,10 ,"R. Virgílio Tuschi, 200 - Cohab CEP: 17350-000",-22.523715,-48.56642129999999,283105.0
119,Igarapava,10 ,"R. Azarias Arantes, S/N - Prédio PUAMI CEP: 14540-000",-20.0351832,-47.7434534,443831.0
120,Igaratá,10 ,"R. José de Souza Palau, S/N - Jardim Rosa Helena CEP: 12350-000",-23.2097337,-46.1612199,94454.0
121,Iguape,10 ,"Rod. Prefeito Casemiro Teixeira, 450 - Teixeira CEP: 11920-000",-24.6928561,-47.5640387,197078.0
122,Ilha Comprida,10 ,"R. Bermudas, 531 - Balneário Monte Carlo CEP: 11925-000",-24.7383628,-47.5558325,205454.0
123,Ilha Solteira,10 ,"R. Parati, 513 - Zona Sul CEP: 15385-000",-20.4321287,-51.3419269,680917.0
124,Ilhabela,10 ,"Av. Professor Malaquias de Oliveira Freitas, 95 - Barra Velha CEP: 11630-000",-23.8230789,-45.3778353,205093.0
125,Indaiatuba,50 ,"R. Dom Pedro I, 65 - Cidade Nova CEP: 13334-100",-23.0859452,-47.2026136,99131.0
126,Ipaussu,10 ,"R. Domingos Fernandes, 240 - Centro CEP: 18950-000",-23.0505759,-49.6273527,357991.0
127,Iperó,10 ,"R. Luiz Rossi, 107 - Jardim Irene CEP: 18560-000",-23.3481579,-47.6940232,122814.0
128,Ipeúna,10 ,"R. Araripe Custódio da Fonseca, 775 - Altos de Ipeúna CEP: 13537-000",-22.4360082,-47.7154556,191101.0
129,Iporanga,10 ,"R. Pedro Silva, S/N - Centro CEP: 18330-000",-24.58344,-48.59259669999999,309846.0
130,Itaberá,10 ,"R. Josephina Silva Melo, 365 - Centro CEP: 18440-000",-23.8621198,-49.1335172,319977.0
131,Itaí,10 ,"R. Abílio Raposo Ferraz, 405 - Vila Jardim Brasil CEP: 18730-000",-23.4149494,-49.0983661,303840.0
132,Itajobi,10 ,"R. Cincinato Braga, 240 - Centro CEP: 15840-000",-21.3147607,-49.0593546,400046.0
133,Itaju,10 ,"R. Antonio de Antonio, 70 - Centro CEP: 17260-000",-21.9842175,-48.803062,331657.0
134,Itanhaém,35 ,"Av. Condessa de Vimieiros, 1131 - Centro CEP: 11740-000",-24.179289,-46.7782506,113267.0
135,Itaoca,10 ,"R. Sete de Setembro, 11 - Centro CEP: 18360-000",,,
136,Itapecerica da Serra,40 ,"R. São João, 47 - Centro CEP: 06850-060",-23.7154168,-46.8509264,36696.0
137,Itapetininga,40 ,"Av. Dr Cyro de Albuquerque, 4750 - Taboãozinho CEP: 18213-615",-23.571788,-47.99376909999999,165547.0
138,Itapeva,35 ,"R. Lucas de Camargo, 419 - Camargo CEP: 18400-340",-23.9843765,-48.8766348,286062.0
139,Itapevi,50 ,"R. Professor Irineu Chaluppe, 65 - Chaluppe CEP: 06653-180",-23.5451038,-46.9318918,37053.0
140,Itápolis,15 ,"R. Rodrigues Alves, 1703 - Cecap CEP: 14900-000",-21.6046205,-48.8114012,355905.0
141,Itaporanga,10 ,"R. João Scotti Siqueira, 535 - Vila Alvorada CEP: 18480-000",-23.7102359,-49.4952996,363873.0
142,Itapuí,10 ,"Av. Paes de Barros, 262 - Centro CEP: 17.230-000",-23.5578485,-46.6007021,11461.0
143,Itaquaquecetuba,50 ,"R. MMDC, 92 - Centro CEP: 08570-007",-23.4789029,-46.354209,44928.0
144,Itarare,15 ,"R. 28 de Agosto, 405 - Centro CEP: 18460-000",-24.1128412,-49.3311906,341706.0
145,Itariri,10 ,"R. Nabe Kian, 60 - Continental CEP: 11760-000",-24.2884391,-47.17399469999999,148672.0
146,Itatiba,35 ,"Av. Urbano Bezana, S/N - Porto Seguro CEP: 13255-650",-23.0277457,-46.8503117,78054.0
147,Itu,40 ,"Av. Tiradentes, 1211 - Parque CEP: 13309-640",-23.2899097,-47.2960569,92229.0
148,Itupeva,20 ,"R. Mairinque, 715 - Residencial Pacaembú I CEP: 13295-000",-23.1551983,-47.041258,67754.0
149,Ituverava,15 ,"R. Xaraies, 50 - Jardim Marajoara CEP: 14500-000",-20.3295806,-47.7884332,409094.0
150,Jaboticabal,25 ,"R. General Osório, 215 - Centro CEP: 14870-050",-21.2599598,-48.3188929,339842.0
151,Jacareí,50 ,"R. Faria Lima, 155 - Jardim Santa Maria CEP: 12328-070",-23.2949846,-45.96649180000001,84578.0
152,Jacupiranga,10 ,"Av. 23 de Junho, 649 - Vila Elias CEP: 11940-000",-24.7023906,-48.0067413,215261.0
153,Jaguariúna,20 ,"R. Bahia, 140 - Jardim São João CEP: 13911-454",-22.7007009,-46.9874011,117797.0
154,Jambeiro,10 ,"R. Coronel Batista, 267 - Centro CEP: 12270-000",-23.2572351,-45.6919638,123907.0
155,Jandira,35 ,"R. Francisco de Araujo Chaves, 120 - Araujo CEP: 06626-020",-23.5412883,-46.9090307,38360.0
156,Jaú,40 ,"R. Quintino Bocaiuva, 532 - Centro CEP: 17201-470",-22.2951587,-48.5601192,295640.0
157,José Bonifácio,10 ,"Av. Nove de Julho, 170 - Centro CEP: 15200-000",-21.0515591,-49.6907785,478988.0
158,Juquiá,10 ,"R. Rio Grande do Sul, 120 - Parque Nacional CEP: 11800-000",-30.0346316,-51.2176986,1129105.0
159,Juquitiba,10 ,"Av. Juscelino Kubitschek de Oliveira, 90 - Centro CEP: 06950-000",-23.9373124,-47.0972424,74332.0
160,Lagoinha,10 ,"R. Agostinho Ribeiro dos Santos, 230 - Centro CEP: 12130-000",-23.0902178,-45.1896306,196463.0
161,Laranjal Paulista,10 ,"R. General Osório, 50 - Centro CEP: 18500-000",-23.0479374,-47.8360693,155386.0
162,Leme,35 ,"R. Emílio Violin, 194 - Bela Vista CEP: 13611-412",-22.1874801,-47.38041519999999,185316.0
163,Lençóis Paulista,25 ,"Av. Lázaro Brigido Dutra, 2000 - Jardim Ibaté CEP: 18682-335",-22.6250485,-48.7923319,281104.0
164,Limeira,50 ,"R. Piauí, 472 - Vila Cláudia CEP: 13480-406",-22.5727406,-47.4029274,143659.0
165,Lins,25 ,"Estrada Mário Covas Junior (Lins Guaimbê), km 1 - Vila Guararapes CEP: 16403-025",-21.698322,-49.7502455,426962.0
166,Lorena,30 ,"Av. São José, 150 - Vila Buck CEP: 12600-560",,,
167,Louveira,15 ,"R. Pasquel Dinofre, 82 - Santo Antônio CEP: 13290-000",-23.083129,-46.9751123,66895.0
168,Lucélia,10 ,"R. Eduardo Rapacci, 475 - Centro CEP: 17780-000",-21.7212012,-51.0236019,578190.0
169,Luiz Antônio,10 ,"Av. Independência, 369 - Centro CEP: 14210-000",-21.6065217,-47.7243139,278710.0
170,Macatuba,10 ,"R. Capitão Salvador Mariano de Pontes, 160 - Centro CEP: 17290-000",-22.5174518,-48.725327,296803.0
171,Mairinque,15 ,"Av. Doutor Ricardo Gaspar Júnior, 172 - Centro CEP: 18120-000",-23.546249,-47.1839155,71428.0
172,Mairiporã,35 ,"Av. Tabelião Passarela, 850 - Centro CEP: 07600-000",-23.3190621,-46.5903012,43028.0
173,Maracaí,10 ,"Av. São Paulo, 885 - Centro CEP: 19840-000",-23.5505199,-46.63330939999999,11539.0
174,Marília,50 ,"Av. Monte Carmelo, 800 - Fragata CEP: 17519-030",-22.226786,-49.9367549,438228.0
175,Matão,30 ,"Av. Daniel Antônio de Brito, 241 - Nova Matão CEP: 15990-560",-21.6131982,-48.3607008,301378.0
176,Mauá,50 ,"R. São João, 183 - Núcleo Cincinato Braga CEP: 09310-380",-23.6693938,-46.4277965,57025.0
177,Mineiros do Tietê,10 ,"R. Municipal, 445 - Centro CEP: 17320-000",-22.4076608,-48.4520479,291983.0
178,Miracatu,10 ,"Av. Dona Evarista de Castro Ferreira, 08 - Centro CEP: 11850-000",-24.1465216,-47.3706554,122415.0
179,Mirante do Paranapanema,10 ,"Av. Joaquim Juca de Góes, 882 - Centro CEP: 19260 - 000",-22.298465,-51.91006,608133.0
180,Mococa,25 ,"Av. Dr. Américo Pereira Lima, S/N - Pereira CEP: 13736-260",-21.4743376,-47.008062,256206.0
181,Mogi das Cruzes,50 ,"R. Antenor Leite da Cunha, 55 - Nova Mogilar CEP: 08773-395",-23.5093775,-46.1848615,65339.0
182,Mogi Mirim,30 ,"R. Ariovaldo Silveira Franco, 567 - Franco CEP: 13801-005",-22.4232298,-46.9495631,150396.0
183,Monte Alto,15 ,"Av. Maria Deamo Tarraga, 221 - Real Paraíso CEP: 15910-000",-21.2778628,-48.5152959,351920.0
184,Monte Azul Paulista,10 ,"Praça Macedo Soares, 13 - Centro CEP: 14730-000",-20.8890637,-48.6790007,402178.0
185,Monte Mor,20 ,"R. Chequer Assis, 232 - Centro CEP: 13190000",-22.9470344,-47.3134526,117677.0
186,Morro Agudo,10 ,"R. Barão do Rio Branco, 722 - Centro CEP: 14640-000",-20.7339345,-48.0552111,377329.0
187,Morungaba,10 ,"R. Treze de Maio, 540 - Santo Antônio CEP: 13260-000",-22.8877661,-46.7671967,109463.0
188,Motuca,10 ,"R. São Luiz, 121 - Centro CEP: 14835-000",-21.5081451,-48.152446,307475.0
189,Murutinga do Sul,10 ,"R. Antônio Calestini, 316 - Centro CEP: 16950-000",-20.9899954,-51.2788847,611852.0
190,Narandiba,10 ,"R. Maira Conceição Cassiano, 499 - São Francisco CEP: 19220-000",-13.541478,-43.4440468,1527887.0
191,Nova Granada,10 ,"R. Julio Frasson, 512 - Estação CEP: 15440-000",-20.5435068,-49.3267471,473327.0
192,Novo Horizonte,15 ,"Alameda Roberto Dela Togna, 1233 - Togna CEP: 14960-000",-21.4664504,-49.2279582,403338.0
193,Olímpia,20 ,"R. Bernardino de Campos, 366 - Centro CEP: 15400-000",-20.736202,-48.9077123,433880.0
194,Orlandia,15 ,"Av. M, 980 - Jardim Siena CEP: 14620-000",-20.7146442,-47.86810089999999,364237.0
195,Osasco,100 ,"R. Marechal Rondon, 263 - Centro CEP: 06093-020",-23.5318213,-46.7811388,19157.0
196,Ourinhos,35 ,"Av. Vitalina Marcusso, 1400 - Campo CEP: 19910-206",-22.9507677,-49.8961666,374194.0
197,Ouroeste,10 ,"Av. dos Bandeirantes, 2050 - Centro CEP: 15685-000",-19.9920825,-50.3784425,587428.0
198,Pacaembu,10 ,"R. Amador Rodrigues, 349 - Vila CEP: 17860-000",-21.5637092,-51.26677660000001,608986.0
199,Paraguaçu Paulista,15 ,"R. Prefeito Jaime Monteiro, 796 - Monteiro CEP: 19700-000",-22.4150348,-50.5817391,464057.0
200,Paraibuna,10 ,"R. Geraldo Santana, 55 - Centro CEP: 12260-000",-23.3892444,-45.6610273,128437.0
201,Paranapanema,10 ,"Av. das Posses, 279 - Distrito de Campos de Holambra CEP: 18725-000",-22.6409997,-47.0491411,124713.0
202,Paulistania,10 ,"R. Iderme Tenca Junior, 39 - Vila Manoel CEP: 17150-000",,,
203,Paulo de Faria,10 ,"Av. Joaquim Correa de Morais, 730 - Centro CEP: 15490-000",-20.0258821,-49.40275949999999,526769.0
204,Pederneiras,15 ,"Av. Paulista (complemento Sul), 377 - Centro CEP: 17280-000",-23.5631043,-46.6543825,5226.0
205,Pedreira,15 ,"R. João Lúcio de Moraes, 270 - Jardim Triunfo CEP: 13920-000",-22.7207433,-46.896652,133069.0
206,Pedro de Toledo,10 ,"R. Vasconcelos, 345 - Centro CEP: 11790-000",,,
207,Penápolis,20 ,"Av. Goiás, 448 - Vila América CEP: 16300-000",-21.4130303,-50.0799715,476300.0
208,Pereiras,10 ,"R. Carlos Muccini, 123 - Centro CEP: 18580-000",-23.07487,-47.9750252,164688.0
209,Peruíbe,25 ,"Av. São João, 635 - Centro CEP: 11750-000",-24.32129,-47.0006293,142470.0
210,Piacatu,10 ,"R. Antonio Gomes Jardim, 101 - Centro CEP: 16230-000",-21.588452,-50.600786,533105.0
211,Piquete,10 ,"Praça Dom Pedro I, 130 - Vila Celeste CEP: 12620-000",-22.6165419,-45.1712104,209885.0
212,Piracaia,10 ,"Av. Cândido Rodrigues, 100 - Centro CEP: 12970-000",-23.0552203,-46.3561791,93688.0
213,Piracicaba,50 ,"R. Dona Idalina, 314 - Paulicéia CEP: 13400-900",-22.7455044,-47.6474762,155607.0
214,Pirajuí,10 ,"Praça Doutor Pedro da Rocha Braga, 155 - Centro CEP: 16600-000",-21.9944381,-49.4576564,380744.0
215,Pirassununga,25 ,"Av. Brasil, 1053 - Vila Esperança CEP: 13635-104",-21.9718032,-47.4271736,210505.0
216,Pitangueiras,10 ,"R. Reinaldo Consoli, 35 - Vila Caroni CEP: 14750-000",-21.0043055,-48.2118203,363584.0
217,Poá,35 ,"Av. Alfredo Maurício Varela, 41 - Vila Varela CEP: 08558-230",-23.5096948,-46.3372008,48256.0
218,Pompéia,10 ,"R. Epaminondas de Toledo Pizza, S/N - Centro CEP: 17580-000",-22.1050775,-50.1676346,473108.0
219,Pontal,15 ,"R. João Totti, 824 - Village Tropical CEP: 14180-000",-21.0304937,-48.0444691,351047.0
220,Porangaba,10 ,"R. Lazinho Nunes da Silva, 505 - Vista Alegre CEP: 18260-000",-23.1747999,-48.1002024,171391.0
221,Porto Feliz,15 ,"R. Conego Belotti, 200 - Porto Feliz CEP: 18540-000",-23.2156329,-47.52167379999999,114037.0
222,Porto Ferreira,20 ,"Av. Nicolau de Vergueiro Forjaz, 860 - Centro CEP: 13660-000",-21.851418,-47.4838256,224290.0
223,Potim,10 ,"R. Rio Grande do Sul, 43 - Jardim Alvorada CEP: 12525-000",-22.835526,-45.2589554,176744.0
224,Pradopolis,10 ,"R. Presidente Vargas, 748 - Centro CEP: 14850-000",-21.3620968,-48.06978489999999,318121.0
225,Presidente Bernardes,10 ,"R. Arthur Hideki Yanai, 86 - Vila Ocidente CEP: 19300-000",-22.0086567,-51.557114,575421.0
226,Presidente Epitácio,15 ,"R. Antonio Venâncio Lopes, 8-81 - Jardim Aimara CEP: 19470-000",-21.7713467,-52.1136811,640889.0
227,Presidente Prudente,50 ,"Rod. Comendador Alberto Bonfiglioli, 2700 - Bonfiglioli CEP: 19063-390",-22.133982,-51.4476528,557286.0
228,Presidente Venceslau,10 ,"R. Dom Pedro II, 787 - Centro CEP: 19400-000",-21.8757892,-51.8494123,607650.0
229,Quatá,10 ,"Av. Rodolfo Sebastião Giorgi, 244 - Centro CEP: 19780-000",-22.2517078,-50.696621,485182.0
230,Queluz,10 ,"Praça Padre Francisco Chagas Lima, 168 - Queluz CEP: 12800-000",-22.5384251,-44.774227,234974.0
231,Rancharia,10 ,"R. Marcilio Dias, 440 - Centro CEP: 19600-000",-22.2271127,-50.89171169999999,504211.0
232,Redenção da Serra,10 ,"Av. Nove de Julho, 60 - Centro CEP: 12170-000",-23.2845105,-45.5387428,171936.0
233,Reginopolis,10 ,"R. Padre Moises de Miranda, 645 - Centro CEP: 17190-000",-21.8896644,-49.2225592,392914.0
234,Ribeirão Pires,35 ,"R. Primeiro de Maio, 170 - Jardim Itacolomy CEP: 09402-510",,,
235,Ribeirao Preto,100 ,"R. Alvares Cabral, 629 - Centro CEP: 14015-050",-21.1764681,-47.8111148,311663.0
236,Rio Claro,50 ,"R. 06 - Dr. Eloy Chaves, 3265 - Alto Santana CEP: 13504-188",-22.3917398,-47.57020139999999,176444.0
237,Rio das Pedras,10 ,"R. Adhemar de Barros, 550 - Centro CEP: 13390-000",-22.8422378,-47.6020565,163872.0
238,Riolândia,10 ,"Av. Treze, 726 - Centro CEP: 15495-000",-19.9798949,-49.6784893,576106.0
239,Rosana,10 ,"R. São Paulo, 399 - Distrito de Primavera CEP: 19274-000",-23.5505199,-46.63330939999999,11539.0
240,Salesópolis,10 ,"R. XV de Novembro, 1070 - Centro CEP: 08970-000",-23.5302282,-45.853708,119164.0
241,Saltinho,10 ,"Av. Sete de Setembro, 1734 - Centro CEP: 13440-000",-22.8461976,-47.6761729,173190.0
